age,income,employment_length,debt_to_income,credit_history_length,num_credit_accounts,num_delinquencies,credit_utilization,loan_amount,credit_score,default_risk,loan_purpose,employment_type,home_ownership
18,20802,1.2038418983835648,0.20747105592705176,3.9677994035434345,4,0,0.0916724330346021,30687,545,1,personal,part_time,rent
39,161354,13.647060985649597,0.15408549930904608,5.454749953550293,2,1,0.5903883963176387,12655,538,1,home,self_employed,own
40,21225,3.6329463951190393,0.34214163620417687,1.021541815702691,4,1,0.29128526982673597,2147,492,1,auto,self_employed,mortgage
69,39001,3.0818405757808565,0.2537908890743403,1.1323730575447182,2,0,0.8048785320040656,13356,425,1,home,self_employed,mortgage
37,28999,2.8483112093119174,0.06447386987645073,15.390971114045215,6,1,0.512103520631937,4495,597,1,home,part_time,mortgage
43,40084,5.897826197100065,0.3488146318938501,10.944020309476853,4,0,0.5406245752810462,8852,571,1,education,unemployed,rent
39,51827,3.0097980034209253,0.24693824853971474,14.201236136084317,4,0,0.8789718144379389,3736,520,1,personal,self_employed,own
25,51383,0.6882728704764453,0.1773475610207273,8.033275621082137,2,0,0.4627869492070482,11373,527,1,auto,part_time,rent
53,20000,10.608497026198977,0.6667396692471315,6.357606485799088,9,0,0.3194534815624458,6825,483,1,personal,part_time,own
49,20000,2.796538480102569,0.501119812742423,8.111990813493623,2,2,0.4124410790459808,7991,389,1,auto,unemployed,mortgage
49,269019,0.3844299285416004,0.46576075396560074,4.731038889562502,5,1,0.16327987191922158,13353,577,1,education,full_time,rent
29,24656,3.7683726527009047,0.34609467157442575,0.86405736317791,7,0,0.5723990425288656,9590,431,1,personal,self_employed,mortgage
56,63536,5.211351534880158,0.19090451188483715,3.4932538835498916,2,0,0.5827329754605106,8423,475,1,education,full_time,rent
23,20000,1.61193672931776,0.19455224604632476,17.437169817334365,6,1,0.8148371848258633,11058,533,1,auto,part_time,mortgage
47,29036,8.055707004581413,0.15174198658572038,3.7625954535205817,3,0,0.6171574393919287,2491,527,1,home,unemployed,rent
66,32801,5.5399180033912945,0.10595887196748681,7.126991016114944,3,0,0.40011513110631275,7569,581,0,home,part_time,mortgage
28,53010,5.253986846111053,0.6160423891580816,2.5288690525276647,4,0,0.32471439501024685,8175,499,0,education,full_time,own
33,20000,2.7307526022371515,0.6099028135981257,3.498286578073871,4,1,0.07891954076208985,14623,437,1,personal,part_time,rent
41,41477,16.339713446809704,0.24892585006947365,4.394383737056708,1,0,0.5933403607500863,5830,507,1,home,full_time,mortgage
33,20000,1.6023293001152925,0.5228146010708768,4.856756422967507,5,0,0.29438655794804014,9203,466,1,personal,unemployed,rent
21,47074,4.310261717241529,0.1896613318571457,5.527535264846447,6,0,0.2532551404817064,9167,586,1,personal,part_time,rent
40,20000,1.8484764054076717,0.05547786607453845,5.959820105684202,4,0,0.6720349082475887,34122,494,1,business,unemployed,rent
27,20000,6.828631760908127,0.5287116627827557,4.080630354506719,5,0,0.6502388578681889,12847,468,1,auto,self_employed,rent
45,29175,0.24485619313024734,0.24522885803470296,3.5208142645520595,5,1,0.3599494554109735,4454,481,1,personal,part_time,mortgage
28,20000,0.23490182057381243,0.238043043703594,6.318372985631669,4,0,0.5315328642359222,15677,563,1,auto,part_time,mortgage
58,24824,8.326364616699884,0.16001767404103787,7.257822015890662,3,3,0.13398999150390323,7330,437,1,home,unemployed,own
30,20000,2.84817547923746,0.41211005786157506,14.232869242025796,6,2,0.2958262050566204,11152,538,1,auto,self_employed,mortgage
36,20000,2.0865250289418062,0.5121032081134004,0.4284910544322221,3,0,0.1221967826765592,4200,373,1,education,self_employed,own
49,81991,4.676435913824944,0.33556408086160944,1.9941200192838908,3,0,0.6805613485513057,12703,481,1,home,self_employed,rent
25,20000,6.051620386285855,0.21822437920187693,13.608137633909484,1,1,0.1875214205710387,2424,538,0,auto,unemployed,own
42,31478,1.1232318176326679,0.2460123144725771,4.129335638506647,2,1,0.06950253454971192,15412,483,1,personal,unemployed,own
55,66324,1.0254821816910114,0.21819185359107018,4.672027550065271,1,0,0.028019459803555576,14763,553,0,business,self_employed,rent
20,22204,15.868406749129553,0.5273949564634437,2.7578142988546563,2,0,0.6740188260035139,4106,462,1,education,full_time,own
42,20000,4.453898446866224,0.3759406314890786,2.501793505411342,4,1,0.6711005908526093,21708,434,1,education,self_employed,own
43,43520,2.47243643215704,0.1954348216844647,1.2748431966164853,5,0,0.1870811711616845,5127,535,0,home,part_time,mortgage
49,88818,8.0833624618017,0.1306542092122178,6.2192263507167596,4,0,0.425617880189557,4248,574,0,auto,self_employed,mortgage
25,20000,3.7238759050704773,0.09864480687090772,8.35457601112369,5,1,0.5125229533042961,1071,553,1,home,self_employed,rent
24,32205,1.383135755288967,0.0911213339757964,8.539205613824937,2,0,0.4719015586597653,7669,495,1,business,part_time,own
46,20000,1.1579916222202122,0.06325280003211403,4.1483995187191764,4,0,0.5319238531211484,5354,545,1,home,full_time,own
43,26514,2.528023600247905,0.2153281802145626,5.200286447134902,9,0,0.5449778801217339,9773,621,0,personal,part_time,mortgage
43,37322,9.82684638804741,0.3284079080370702,8.435369140937103,5,2,0.20224019475833885,8984,529,1,business,full_time,rent
44,20000,0.3170846373642166,0.41979926222240543,9.238328680889508,2,1,0.6233684552182833,13329,449,1,auto,self_employed,rent
31,25195,1.2328669999683481,0.5712869479050733,7.390059884141959,4,1,0.0684790168800802,13406,446,1,auto,self_employed,rent
42,20000,11.181731599237562,0.11281437580980697,7.6530893714797354,5,1,0.009854413950333337,4436,602,1,business,self_employed,own
43,38625,0.649032088937975,0.42125623212936814,15.984852071177201,6,0,0.3583646638903319,7006,601,1,personal,self_employed,rent
31,84504,4.966206061896508,0.2294482995980725,3.3620143057576373,3,0,0.2441614369978869,6980,545,1,auto,full_time,mortgage
62,20000,1.2008850532593511,0.2901842560552971,1.9049646562434916,7,0,0.6057189436821672,4704,515,0,education,self_employed,rent
45,22067,4.655332381495812,0.16955513296812058,8.473159026164815,3,0,0.19973220815874163,1625,561,1,business,unemployed,rent
25,54286,2.4152754863915193,0.380927418849216,6.527403739256391,2,0,0.36674492254152374,13168,527,1,business,self_employed,rent
47,95766,0.5361273593237127,0.10728979772087167,5.572045798883331,4,1,0.477556880449484,14147,518,1,education,full_time,rent
28,20000,4.367055090205117,0.4034687518355007,9.11924958966754,2,1,0.31975340995325097,11850,452,1,personal,unemployed,rent
49,31728,5.744941815225271,0.14339469986668507,10.056159837489629,1,0,0.4135796569498422,18673,520,1,business,part_time,own
53,45547,5.701432902793691,0.1949985650345077,9.477942195616999,5,0,0.2506485954726499,9630,590,1,education,part_time,own
30,33468,5.067236200220659,0.10954312580542545,2.333503764254729,4,0,0.6265551634288399,19905,520,1,business,unemployed,own
51,20000,3.467984217571357,0.14812248442952314,6.162141032724385,3,0,0.14527275115020477,7584,519,1,business,self_employed,rent
44,54223,3.6643553167461795,0.7137278531523455,7.590921687730194,4,0,0.2927012169088734,18611,501,1,auto,part_time,own
49,122451,5.048065952388658,0.2221091665449986,4.998013255484887,3,0,0.3278982354938121,6927,611,0,home,full_time,own
62,39868,5.860099912430875,0.7182217723722598,13.720723065463776,4,0,0.10166563487453259,17245,508,1,home,self_employed,rent
37,20000,5.319268235050117,0.18709376325195048,3.253686304967903,2,1,0.5091582150564931,8902,540,1,business,full_time,mortgage
30,24088,4.420879453114237,0.06551052511409304,11.101032939878966,2,0,0.15956520739520424,14151,616,0,auto,part_time,own
29,149631,0.8470601314161296,0.23881233932733026,7.334042992416878,4,1,0.9496291213182565,3977,570,1,education,unemployed,rent
30,75204,1.1825153334294218,0.2509968840516118,4.441952236283205,2,0,0.11044732777903568,27117,541,1,auto,part_time,mortgage
39,60598,1.5070393487254454,0.5038917526547615,3.310243448913184,3,3,0.39873386534039945,29378,363,1,business,full_time,own
44,48297,12.607541380986394,0.5653594170684983,13.439234979433412,3,1,0.30896325875722314,6991,563,1,education,self_employed,own
43,21398,7.122995379016378,0.1467269694444745,1.0472571798721075,3,0,0.45482566169309413,1748,529,1,home,full_time,mortgage
49,30931,4.024493929371063,0.13232676878237667,5.06760511715886,2,0,0.5422452483135188,6941,463,1,home,self_employed,rent
40,34120,1.4521420579160158,0.28588406904205577,3.4814193559907864,3,0,0.393341838641616,1259,499,1,auto,unemployed,rent
57,56368,0.5876801490726542,0.250863978233764,4.331527526519334,1,0,0.46979281288788344,7198,514,1,personal,self_employed,own
36,121435,11.45126848968557,0.10762349277303547,4.865044810402903,7,2,0.14409577706273294,9527,692,1,business,unemployed,rent
72,88846,11.159049791812903,0.3203423404298973,1.6732267329619832,4,0,0.5219928180380964,7399,544,1,education,full_time,own
47,20000,0.5865784501850736,0.22207680301463706,2.7901736573364317,5,0,0.11453479293560662,9941,504,1,home,unemployed,rent
29,43442,7.978085953025328,0.1979619369935673,6.516018523622614,6,0,0.20810702080362012,2453,600,1,auto,unemployed,own
27,65474,2.9587782784686705,0.5836121001384796,4.9623181382213195,5,0,0.3266723557505316,5212,458,1,business,part_time,mortgage
45,59580,1.957566441021822,0.27020960623114293,4.097561041982317,6,0,0.5058552351549692,6552,506,1,education,unemployed,rent
37,21951,6.718177368810968,0.6616475872923736,2.8638094221336092,2,1,0.3328106056897941,16929,424,1,personal,full_time,own
48,373729,4.763860037365503,0.26505436676517563,3.225017251383181,2,1,0.5507262612257549,13079,689,0,education,self_employed,rent
45,20000,7.571322973459741,0.22647657273408248,2.442029888728185,4,0,0.6306243771486673,19739,543,1,auto,unemployed,mortgage
39,20000,0.3861812424288464,0.09636456877210778,8.888333829439135,2,1,0.1106515296461795,12371,561,1,education,part_time,own
29,43777,1.9179336242876823,0.15272916784469376,3.6729066706290103,5,2,0.20798533065597286,5183,553,1,auto,self_employed,own
21,197489,1.9232917668831235,0.19667016925479455,1.3744878071186064,8,0,0.6843788788451686,7006,594,0,business,full_time,rent
34,20000,2.0005455775504006,0.4935318563371495,9.144012036575623,3,0,0.32854050486735065,5365,480,1,business,self_employed,own
50,29358,3.4905963310223793,0.09246602261493489,5.169990153444378,1,2,0.4986052910403675,7698,447,1,home,full_time,rent
42,85976,1.6634934486337252,0.5236311496422988,3.8401942802756626,3,0,0.35181321904339724,2261,499,1,auto,part_time,own
25,35800,2.938385845272718,0.08106600315848154,4.1498978901679155,2,0,0.3316605625365757,6395,601,0,business,unemployed,own
42,27786,2.2925701855672145,0.4035140433553015,16.982396358950467,2,0,0.6612418595868246,8260,457,1,auto,self_employed,mortgage
44,57096,6.645716199142321,0.14677791387041006,7.7699128728753575,4,0,0.1649817917366634,14139,593,0,personal,full_time,own
29,45162,4.6254062232795325,0.3786390954558618,12.434741598469415,3,0,0.5600994969311318,8165,525,1,home,part_time,own
41,82813,5.3012303608885025,0.25427857328942644,2.251894543706419,5,2,0.29150182680952336,16395,505,0,home,full_time,own
40,102045,1.182308566143089,0.24196336361100734,5.38424935418416,4,1,0.5909424734236624,18920,518,1,personal,unemployed,own
26,46425,1.9689340680457244,0.12122405508542235,5.1971137835420125,4,0,0.04919592974341736,13180,603,1,auto,full_time,own
44,45861,0.10696323636276298,0.4311123986041366,0.4514090365387554,16,0,0.29636024469023675,6402,561,1,education,unemployed,own
46,43100,0.5735465504965308,0.14717340641274382,3.7241547462861586,5,0,0.7033127827070896,10033,541,1,education,part_time,mortgage
52,53707,1.5397928375522159,0.1025257587494104,1.116880988444612,3,0,0.6118934930520916,7155,424,1,personal,full_time,mortgage
52,37954,0.33852415666694585,0.5617887919024134,3.8833778995057906,3,2,0.35943972559246645,25536,350,1,auto,full_time,rent
23,36297,4.614467415127189,0.5025684656930786,8.013477253016735,8,2,0.40000339388134465,9040,585,1,education,full_time,mortgage
28,94589,31.409394206938007,0.44451339435220344,13.646551640696298,1,0,0.3947424343682206,7579,638,0,personal,self_employed,mortgage
46,122136,0.5313335977127602,0.06728276910456911,2.6404482806857708,5,1,0.35334552256013846,19574,597,0,auto,full_time,rent
46,20000,8.608282025904344,0.18960091414302532,13.981263119924392,2,1,0.3187330385468077,5049,572,0,personal,self_employed,own
46,36607,0.63244550941483,0.0621544674856199,7.079358065412429,3,0,0.2799104333832623,32492,538,0,education,unemployed,own
80,20932,5.542010546784624,0.24409577721076314,9.818277641653593,4,0,0.478263910762106,17358,529,1,auto,part_time,rent
46,28317,5.152305299141176,0.3236950993184565,4.211351683249463,5,0,0.5239737652158761,9912,547,1,personal,full_time,mortgage
53,50111,11.65065176164874,0.4443763088595268,1.399867444878901,4,1,0.5956985835027785,6407,462,1,auto,part_time,own
51,62040,0.6048847307660475,0.22470384504158994,3.516344287146579,1,0,0.3043720662742502,8345,541,1,home,unemployed,own
47,33199,1.8949275345590872,0.13596501165548092,6.43962537009539,3,0,0.15537476947201823,6953,587,1,home,unemployed,own
36,20000,0.47583963156493414,0.2720506183115339,15.472065715523907,4,0,0.5527356102147029,19320,582,1,personal,self_employed,own
49,20000,2.6160375344260958,0.13206874807625432,13.037397404491442,6,0,0.6997439416507467,4383,585,1,education,part_time,rent
30,74399,12.12903045059585,0.485733675592498,17.557820993374712,3,1,0.08887245843364966,12168,624,1,auto,self_employed,own
37,20000,7.605376122882862,0.3095048517235776,14.188650068851349,2,2,0.25799512987419143,4642,479,1,auto,unemployed,mortgage
34,93895,6.416885948004444,0.2939878502002104,6.3438229763632314,4,2,0.4147960892349286,19948,560,1,home,part_time,mortgage
40,55104,3.8074245998500285,0.5424834924742723,6.144618151246677,5,1,0.20611407599122353,11502,455,1,auto,full_time,rent
67,104082,10.74870815039274,0.3226509881763322,3.1601083993475125,7,0,0.2752538680101428,11350,650,0,auto,full_time,rent
18,30981,2.9841130157119955,0.09504682132022292,2.8174131225466263,7,1,0.25896183338368184,11717,605,0,education,full_time,rent
48,20000,0.8107459722359487,0.14913044425882274,11.517175246945191,3,1,0.40652248953038866,5843,551,1,personal,part_time,own
20,51240,9.088009323791802,0.2983075851088544,15.560022127883565,2,0,0.43588143178390004,8822,621,0,personal,self_employed,own
34,100682,1.6400093547159702,0.1549619179474562,2.4456163577020797,5,2,0.17951879310563282,5885,491,1,business,unemployed,own
53,76098,0.2756270379445119,0.34053558237757736,1.9223766513798872,6,0,0.7349111619603095,5047,468,1,auto,part_time,own
40,21372,0.673592088121774,0.44230057022695385,5.442222599627242,0,1,0.572221539562332,11161,400,1,personal,unemployed,rent
27,38925,4.695992055768561,0.1858531930149111,1.719536829016647,4,2,0.20487622545498377,1948,549,1,personal,self_employed,own
